Status of existing checking account,Duration in month,Credit history,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate in percentage of disposable income,Personal status and sex,Other debtors/guarantors,Present residence since,Property,Age in years,Other installment plans,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,Foreign worker,Good/Bad
239,... < 0 DM,30,existing credits paid back duly till now,radio/television,2522,... < 100 DM,... >= 7 years,One,male: single,guarantor,Three,building society savings agreement/life insurance,39,none,own,One,skilled employee / official,Two,none,yes,Good
240,... < 0 DM,24,existing credits paid back duly till now,car (new),915,unknown/no savings account,... >= 7 years,Four,female: divorced/separated/married,none,Two,car or other,29,bank,own,One,skilled employee / official,One,none,yes,Bad
241,no checking account,6,existing credits paid back duly till now,radio/television,1595,... < 100 DM,4 <= ... < 7 years,Three,male: single,none,Two,building society savings agreement/life insurance,51,none,own,One,skilled employee / official,Two,none,yes,Good
242,... < 0 DM,48,no credits taken/all credits paid back duly,car (used),4605,... < 100 DM,... >= 7 years,Three,male: single,none,Four,unknown / no property,24,none,for free,Two,skilled employee / official,Two,none,yes,Bad
243,no checking account,12,critical account/ other credits existing (not at this bank),business,1185,... < 100 DM, 1 <= ... < 4 years,Three,female: divorced/separated/married,none,Two,real estate,27,none,own,Two,skilled employee / official,One,none,yes,Good
244,no checking account,12,all credits at this bank paid back duly,retraining,3447,500 <= ... < 1000 DM, 1 <= ... < 4 years,Four,female: divorced/separated/married,none,Three,real estate,35,none,own,One,unskilled - resident,Two,none,yes,Good
245,no checking account,24,existing credits paid back duly till now,business,1258,... < 100 DM,4 <= ... < 7 years,Four,male: single,none,One,real estate,25,none,own,One,skilled employee / official,One,"yes, registered under the customers name",yes,Good
246,no checking account,12,critical account/ other credits existing (not at this bank),radio/television,717,... < 100 DM,... >= 7 years,Four,male: single,none,Four,real estate,52,none,own,Three,skilled employee / official,One,none,yes,Good
247,no checking account,6,no credits taken/all credits paid back duly,car (new),1204,100 <= ... < 500 DM, 1 <= ... < 4 years,Four,male: single,none,One,unknown / no property,35,bank,rent,One,skilled employee / official,One,none,no,Good
248,... >= 200 DM / salary assignments for at least 1 year,24,existing credits paid back duly till now,furniture/equipment,1925,... < 100 DM, 1 <= ... < 4 years,Two,male: single,none,Two,real estate,26,none,own,One,skilled employee / official,One,none,yes,Good
249,no checking account,18,existing credits paid back duly till now,radio/television,433,... < 100 DM,unemployed,Three,female: divorced/separated/married,co-applicant,Four,real estate,22,none,rent,One,skilled employee / official,One,none,yes,Bad
250,... < 0 DM,6,critical account/ other credits existing (not at this bank),car (new),666,... >= 1000 DM,4 <= ... < 7 years,Three,female: divorced/separated/married,none,Four,real estate,39,none,own,Two,unskilled - resident,One,"yes, registered under the customers name",yes,Good
251,... >= 200 DM / salary assignments for at least 1 year,12,existing credits paid back duly till now,furniture/equipment,2251,... < 100 DM, 1 <= ... < 4 years,One,female: divorced/separated/married,none,Two,car or other,46,none,own,One,unskilled - resident,One,none,yes,Good
252,0 <= 200 DM,30,existing credits paid back duly till now,car (new),2150,... < 100 DM, 1 <= ... < 4 years,Four,female: divorced/separated/married,guarantor,Two,unknown / no property,24,bank,own,One,skilled employee / official,One,none,yes,Bad
253,no checking account,24,delay in paying off in the past,furniture/equipment,4151,100 <= ... < 500 DM, 1 <= ... < 4 years,Two,male: single,none,Three,building society savings agreement/life insurance,35,none,own,Two,skilled employee / official,One,none,yes,Good
254,0 <= 200 DM,9,existing credits paid back duly till now,furniture/equipment,2030,unknown/no savings account,4 <= ... < 7 years,Two,male: single,none,One,car or other,24,none,own,One,skilled employee / official,One,"yes, registered under the customers name",yes,Good
255,0 <= 200 DM,60,delay in paying off in the past,radio/television,7418,unknown/no savings account, 1 <= ... < 4 years,One,male: single,none,One,real estate,27,none,own,One,unskilled - resident,One,none,yes,Good
256,no checking account,24,critical account/ other credits existing (not at this bank),radio/television,2684,... < 100 DM, 1 <= ... < 4 years,Four,male: single,none,Two,real estate,35,none,own,Two,unskilled - resident,One,none,yes,Good
257,... < 0 DM,12,all credits at this bank paid back duly,radio/television,2149,... < 100 DM, 1 <= ... < 4 years,Four,male: divorced/separated,none,One,unknown / no property,29,none,for free,One,skilled employee / official,One,none,yes,Bad
258,no checking account,15,existing credits paid back duly till now,car (used),3812,100 <= ... < 500 DM,... < 1 year,One,female: divorced/separated/married,none,Four,car or other,23,none,own,One,skilled employee / official,One,"yes, registered under the customers name",yes,Good
259,no checking account,11,critical account/ other credits existing (not at this bank),radio/television,1154,100 <= ... < 500 DM,unemployed,Four,female: divorced/separated/married,none,Four,real estate,57,none,own,Three,unskilled - resident,One,none,yes,Good
260,... < 0 DM,12,existing credits paid back duly till now,furniture/equipment,1657,... < 100 DM, 1 <= ... < 4 years,Two,male: single,none,Two,real estate,27,none,own,One,skilled employee / official,One,none,yes,Good
261,... < 0 DM,24,existing credits paid back duly till now,radio/television,1603,... < 100 DM,... >= 7 years,Four,female: divorced/separated/married,none,Four,car or other,55,none,own,One,skilled employee / official,One,none,yes,Good
262,... < 0 DM,18,critical account/ other credits existing (not at this bank),car (new),5302,... < 100 DM,... >= 7 years,Two,male: single,none,Four,unknown / no property,36,none,for free,Three,management / self-employed / highly qualified employee / officer,One,"yes, registered under the customers name",yes,Good
263,no checking account,12,critical account/ other credits existing (not at this bank),education,2748,... < 100 DM,... >= 7 years,Two,female: divorced/separated/married,none,Four,unknown / no property,57,bank,for free,Three,unskilled - resident,One,none,yes,Good
264,no checking account,10,critical account/ other credits existing (not at this bank),car (new),1231,... < 100 DM,... >= 7 years,Three,male: single,none,Four,real estate,32,none,own,Two,unskilled - resident,Two,none,no,Good
265,0 <= 200 DM,15,existing credits paid back duly till now,radio/television,802,... < 100 DM,... >= 7 years,Four,male: single,none,Three,car or other,37,none,own,One,skilled employee / official,Two,none,yes,Bad
266,no checking account,36,critical account/ other credits existing (not at this bank),business,6304,unknown/no savings account,... >= 7 years,Four,male: single,none,Four,real estate,36,none,own,Two,skilled employee / official,One,none,yes,Good
267,no checking account,24,existing credits paid back duly till now,radio/television,1533,... < 100 DM,... < 1 year,Four,female: divorced/separated/married,none,Three,car or other,38,stores,own,One,skilled employee / official,One,"yes, registered under the customers name",yes,Good
268,... < 0 DM,14,existing credits paid back duly till now,car (new),8978,... < 100 DM,... >= 7 years,One,male: divorced/separated,none,Four,building society savings agreement/life insurance,45,none,own,One,management / self-employed / highly qualified employee / officer,One,"yes, registered under the customers name",no,Bad
269,no checking account,24,existing credits paid back duly till now,radio/television,999,unknown/no savings account,... >= 7 years,Four,male: single,none,Two,car or other,25,none,own,Two,skilled employee / official,One,none,yes,Good
270,no checking account,18,existing credits paid back duly till now,car (new),2662,unknown/no savings account,4 <= ... < 7 years,Four,male: single,none,Three,building society savings agreement/life insurance,32,none,own,One,skilled employee / official,One,none,no,Good
271,no checking account,12,critical account/ other credits existing (not at this bank),furniture/equipment,1402,500 <= ... < 1000 DM,4 <= ... < 7 years,Three,female: divorced/separated/married,none,Four,car or other,37,none,rent,One,skilled employee / official,One,"yes, registered under the customers name",yes,Good
272,0 <= 200 DM,48,all credits at this bank paid back duly,car (new),12169,unknown/no savings account,unemployed,Four,male: single,co-applicant,Four,unknown / no property,36,none,for free,One,management / self-employed / highly qualified employee / officer,One,"yes, registered under the customers name",yes,Good
273,0 <= 200 DM,48,existing credits paid back duly till now,radio/television,3060,... < 100 DM,4 <= ... < 7 years,Four,male: single,none,Four,real estate,28,none,own,Two,skilled employee / official,One,none,yes,Bad
274,... < 0 DM,30,existing credits paid back duly till now,repairs,11998,... < 100 DM,... < 1 year,One,male: divorced/separated,none,One,unknown / no property,34,none,own,One,unskilled - resident,One,"yes, registered under the customers name",yes,Bad
275,no checking account,9,existing credits paid back duly till now,radio/television,2697,... < 100 DM, 1 <= ... < 4 years,One,male: single,none,Two,real estate,32,none,own,One,skilled employee / official,Two,none,yes,Good
276,no checking account,18,critical account/ other credits existing (not at this bank),radio/television,2404,... < 100 DM, 1 <= ... < 4 years,Two,female: divorced/separated/married,none,Two,car or other,26,none,own,Two,skilled employee / official,One,none,yes,Good
277,... < 0 DM,12,existing credits paid back duly till now,furniture/equipment,1262,unknown/no savings account,... >= 7 years,Two,male: divorced/separated,none,Four,building society savings agreement/life insurance,49,none,own,One,unskilled - resident,One,"yes, registered under the customers name",yes,Good
278,no checking account,6,existing credits paid back duly till now,furniture/equipment,4611,... < 100 DM,... < 1 year,One,female: divorced/separated/married,none,Four,building society savings agreement/life insurance,32,none,own,One,skilled employee / official,One,none,yes,Bad
279,no checking account,24,existing credits paid back duly till now,radio/television,1901,100 <= ... < 500 DM, 1 <= ... < 4 years,Four,male: single,none,Four,car or other,29,none,rent,One,management / self-employed / highly qualified employee / officer,One,"yes, registered under the customers name",yes,Good
280,no checking account,15,critical account/ other credits existing (not at this bank),car (used),3368,... >= 1000 DM,... >= 7 years,Three,male: single,none,Four,unknown / no property,23,none,rent,Two,skilled employee / official,One,"yes, registered under the customers name",yes,Good
281,no checking account,12,existing credits paid back duly till now,furniture/equipment,1574,... < 100 DM, 1 <= ... < 4 years,Four,male: single,none,Two,real estate,50,none,own,One,skilled employee / official,One,none,yes,Good
282,... >= 200 DM / salary assignments for at least 1 year,18,all credits at this bank paid back duly,radio/television,1445,unknown/no savings account,4 <= ... < 7 years,Four,male: single,none,Four,car or other,49,bank,own,One,unskilled - resident,One,none,yes,Good
283,no checking account,15,critical account/ other credits existing (not at this bank),furniture/equipment,1520,unknown/no savings account,... >= 7 years,Four,male: single,none,Four,building society savings agreement/life insurance,63,none,own,One,skilled employee / official,One,none,yes,Good
284,0 <= 200 DM,24,critical account/ other credits existing (not at this bank),car (new),3878,100 <= ... < 500 DM,... < 1 year,Four,male: divorced/separated,none,Two,car or other,37,none,own,One,skilled employee / official,One,"yes, registered under the customers name",yes,Good
285,... < 0 DM,47,existing credits paid back duly till now,car (new),10722,... < 100 DM,... < 1 year,One,female: divorced/separated/married,none,One,real estate,35,none,own,One,unskilled - resident,One,"yes, registered under the customers name",yes,Good
286,... < 0 DM,48,existing credits paid back duly till now,car (used),4788,... < 100 DM,4 <= ... < 7 years,Four,male: single,none,Three,building society savings agreement/life insurance,26,none,own,One,skilled employee / official,Two,none,yes,Good
287,0 <= 200 DM,48,delay in paying off in the past,others,7582,100 <= ... < 500 DM,unemployed,Two,male: single,none,Four,unknown / no property,31,none,for free,One,management / self-employed / highly qualified employee / officer,One,"yes, registered under the customers name",yes,Good
288,0 <= 200 DM,12,existing credits paid back duly till now,radio/television,1092,... < 100 DM, 1 <= ... < 4 years,Four,female: divorced/separated/married,guarantor,Four,real estate,49,none,own,Two,skilled employee / official,One,"yes, registered under the customers name",yes,Good
289,... < 0 DM,24,delay in paying off in the past,radio/television,1024,... < 100 DM,... < 1 year,Four,male: married/widowed,none,Four,real estate,48,stores,own,One,skilled employee / official,One,none,yes,Bad
290,no checking account,12,existing credits paid back duly till now,business,1076,... < 100 DM, 1 <= ... < 4 years,Two,male: married/widowed,none,Two,real estate,26,none,own,One,skilled employee / official,One,"yes, registered under the customers name",no,Good
291,0 <= 200 DM,36,existing credits paid back duly till now,car (used),9398,... < 100 DM,... < 1 year,One,male: married/widowed,none,Four,car or other,28,none,rent,One,management / self-employed / highly qualified employee / officer,One,"yes, registered under the customers name",yes,Bad
292,... < 0 DM,24,critical account/ other credits existing (not at this bank),car (used),6419,... < 100 DM,... >= 7 years,Two,female: divorced/separated/married,none,Four,unknown / no property,44,none,for free,Two,management / self-employed / highly qualified employee / officer,Two,"yes, registered under the customers name",yes,Good
293,... >= 200 DM / salary assignments for at least 1 year,42,critical account/ other credits existing (not at this bank),car (used),4796,... < 100 DM,... >= 7 years,Four,male: single,none,Four,unknown / no property,56,none,for free,One,skilled employee / official,One,none,yes,Good
294,no checking account,48,critical account/ other credits existing (not at this bank),business,7629,unknown/no savings account,... >= 7 years,Four,male: divorced/separated,none,Two,car or other,46,bank,own,Two,management / self-employed / highly qualified employee / officer,Two,none,yes,Good
295,0 <= 200 DM,48,existing credits paid back duly till now,furniture/equipment,9960,... < 100 DM,... < 1 year,One,female: divorced/separated/married,none,Two,car or other,26,none,own,One,skilled employee / official,One,"yes, registered under the customers name",yes,Bad
296,no checking account,12,existing credits paid back duly till now,car (used),4675,unknown/no savings account,... < 1 year,One,female: divorced/separated/married,none,Four,car or other,20,none,rent,One,skilled employee / official,One,none,yes,Good
297,no checking account,10,existing credits paid back duly till now,car (new),1287,unknown/no savings account,... >= 7 years,Four,male: single,co-applicant,Two,building society savings agreement/life insurance,45,none,own,One,unskilled - resident,One,none,no,Good
298,no checking account,18,existing credits paid back duly till now,furniture/equipment,2515,... < 100 DM, 1 <= ... < 4 years,Three,male: single,none,Four,real estate,43,none,own,One,skilled employee / official,One,"yes, registered under the customers name",yes,Good
299,0 <= 200 DM,21,critical account/ other credits existing (not at this bank),furniture/equipment,2745,... >= 1000 DM,4 <= ... < 7 years,Three,male: single,none,Two,car or other,32,none,own,Two,skilled employee / official,One,"yes, registered under the customers name",yes,Good
300,no checking account,6,existing credits paid back duly till now,car (new),672,... < 100 DM,unemployed,One,female: divorced/separated/married,none,Four,real estate,54,none,own,One,unemployed/unskilled - non-resident,One,"yes, registered under the customers name",yes,Good
301,0 <= 200 DM,36,no credits taken/all credits paid back duly,radio/television,3804,... < 100 DM, 1 <= ... < 4 years,Four,female: divorced/separated/married,none,One,car or other,42,none,own,One,skilled employee / official,One,"yes, registered under the customers name",yes,Bad
302,... >= 200 DM / salary assignments for at least 1 year,24,critical account/ other credits existing (not at this bank),car (new),1344,unknown/no savings account,4 <= ... < 7 years,Four,male: single,none,Two,real estate,37,bank,own,Two,unskilled - resident,Two,none,yes,Bad
303,... < 0 DM,10,critical account/ other credits existing (not at this bank),car (new),1038,... < 100 DM,4 <= ... < 7 years,Four,male: single,co-applicant,Three,building society savings agreement/life insurance,49,none,own,Two,skilled employee / official,One,"yes, registered under the customers name",yes,Good
304,no checking account,48,critical account/ other credits existing (not at this bank),car (new),10127,500 <= ... < 1000 DM, 1 <= ... < 4 years,Two,male: single,none,Two,unknown / no property,44,bank,for free,One,skilled employee / official,One,none,yes,Bad
305,no checking account,6,existing credits paid back duly till now,furniture/equipment,1543,... >= 1000 DM, 1 <= ... < 4 years,Four,male: divorced/separated,none,Two,real estate,33,none,own,One,skilled employee / official,One,none,yes,Good
306,no checking account,30,existing credits paid back duly till now,car (used),4811,unknown/no savings account,4 <= ... < 7 years,Two,female: divorced/separated/married,none,Four,building society savings agreement/life insurance,24,stores,rent,One,unskilled - resident,One,none,yes,Good
307,... < 0 DM,12,existing credits paid back duly till now,radio/television,727,100 <= ... < 500 DM,... < 1 year,Four,male: married/widowed,none,Three,unknown / no property,33,none,own,One,unskilled - resident,One,"yes, registered under the customers name",yes,Bad
308,0 <= 200 DM,8,existing credits paid back duly till now,furniture/equipment,1237,... < 100 DM, 1 <= ... < 4 years,Three,female: divorced/separated/married,none,Four,real estate,24,none,own,One,skilled employee / official,One,none,yes,Bad
309,0 <= 200 DM,9,existing credits paid back duly till now,car (new),276,... < 100 DM, 1 <= ... < 4 years,Four,male: married/widowed,none,Four,real estate,22,none,rent,One,unskilled - resident,One,none,yes,Good
310,0 <= 200 DM,48,existing credits paid back duly till now,others,5381,unknown/no savings account,unemployed,Three,male: single,none,Four,unknown / no property,40,bank,for free,One,unemployed/unskilled - non-resident,One,"yes, registered under the customers name",yes,Good
311,no checking account,24,existing credits paid back duly till now,furniture/equipment,5511,100 <= ... < 500 DM, 1 <= ... < 4 years,Four,male: single,none,One,car or other,25,stores,own,One,skilled employee / official,One,none,yes,Good
312,... >= 200 DM / salary assignments for at least 1 year,24,existing credits paid back duly till now,furniture/equipment,3749,... < 100 DM,... < 1 year,Two,female: divorced/separated/married,none,Four,car or other,26,none,own,One,skilled employee / official,One,none,yes,Good
313,0 <= 200 DM,12,existing credits paid back duly till now,car (new),685,... < 100 DM,4 <= ... < 7 years,Two,male: married/widowed,none,Three,car or other,25,bank,own,One,unskilled - resident,One,none,yes,Bad
314,... >= 200 DM / salary assignments for at least 1 year,4,existing credits paid back duly till now,car (new),1494,unknown/no savings account,... < 1 year,One,male: single,none,Two,real estate,29,none,own,One,unskilled - resident,Two,none,no,Good
315,... < 0 DM,36,all credits at this bank paid back duly,furniture/equipment,2746,... < 100 DM,... >= 7 years,Four,male: single,none,Four,car or other,31,bank,own,One,skilled employee / official,One,none,yes,Bad
316,... < 0 DM,12,existing credits paid back duly till now,furniture/equipment,708,... < 100 DM, 1 <= ... < 4 years,Two,male: single,guarantor,Three,building society savings agreement/life insurance,38,none,own,One,unskilled - resident,Two,none,yes,Good
317,0 <= 200 DM,24,existing credits paid back duly till now,furniture/equipment,4351,unknown/no savings account, 1 <= ... < 4 years,One,female: divorced/separated/married,none,Four,building society savings agreement/life insurance,48,none,own,One,unskilled - resident,One,"yes, registered under the customers name",yes,Good
318,no checking account,12,critical account/ other credits existing (not at this bank),education,701,... < 100 DM, 1 <= ... < 4 years,Four,male: single,none,Two,car or other,32,none,own,Two,skilled employee / official,One,none,yes,Good
319,... < 0 DM,15,delay in paying off in the past,furniture/equipment,3643,... < 100 DM,... >= 7 years,One,female: divorced/separated/married,none,Four,building society savings agreement/life insurance,27,none,own,Two,unskilled - resident,One,none,yes,Good
320,0 <= 200 DM,30,critical account/ other credits existing (not at this bank),car (new),4249,... < 100 DM,unemployed,Four,male: married/widowed,none,Two,car or other,28,none,own,Two,management / self-employed / highly qualified employee / officer,One,none,yes,Bad
321,... < 0 DM,24,existing credits paid back duly till now,radio/television,1938,... < 100 DM,... < 1 year,Four,male: divorced/separated,none,Three,building society savings agreement/life insurance,32,none,own,One,skilled employee / official,One,none,yes,Bad
322,... < 0 DM,24,existing credits paid back duly till now,car (used),2910,... < 100 DM,4 <= ... < 7 years,Two,male: single,none,One,unknown / no property,34,none,for free,One,management / self-employed / highly qualified employee / officer,One,"yes, registered under the customers name",yes,Good
323,... < 0 DM,18,existing credits paid back duly till now,furniture/equipment,2659,... >= 1000 DM, 1 <= ... < 4 years,Four,male: single,none,Two,car or other,28,none,own,One,skilled employee / official,One,none,yes,Good
324,no checking account,18,critical account/ other credits existing (not at this bank),car (new),1028,... < 100 DM, 1 <= ... < 4 years,Four,female: divorced/separated/married,none,Three,real estate,36,none,own,Two,skilled employee / official,One,none,yes,Good
325,... < 0 DM,8,critical account/ other credits existing (not at this bank),car (new),3398,... < 100 DM,4 <= ... < 7 years,One,male: single,none,Four,real estate,39,none,own,Two,unskilled - resident,One,none,no,Good
326,no checking account,12,critical account/ other credits existing (not at this bank),furniture/equipment,5801,unknown/no savings account,... >= 7 years,Two,male: single,none,Four,building society savings agreement/life insurance,49,none,rent,One,skilled employee / official,One,"yes, registered under the customers name",yes,Good
327,no checking account,24,existing credits paid back duly till now,car (new),1525,... >= 1000 DM,4 <= ... < 7 years,Four,female: divorced/separated/married,none,Three,car or other,34,none,own,One,skilled employee / official,Two,"yes, registered under the customers name",yes,Good
328,... >= 200 DM / salary assignments for at least 1 year,36,existing credits paid back duly till now,radio/television,4473,... < 100 DM,... >= 7 years,Four,male: single,none,Two,car or other,31,none,own,One,skilled employee / official,One,none,yes,Good
329,0 <= 200 DM,6,existing credits paid back duly till now,radio/television,1068,... < 100 DM,... >= 7 years,Four,male: single,none,Four,car or other,28,none,own,One,skilled employee / official,Two,none,yes,Good
330,... < 0 DM,24,critical account/ other credits existing (not at this bank),car (used),6615,... < 100 DM,unemployed,Two,male: single,none,Four,unknown / no property,75,none,for free,Two,management / self-employed / highly qualified employee / officer,One,"yes, registered under the customers name",yes,Good
331,no checking account,18,critical account/ other credits existing (not at this bank),education,1864,100 <= ... < 500 DM, 1 <= ... < 4 years,Four,female: divorced/separated/married,none,Two,real estate,30,none,own,Two,skilled employee / official,One,none,yes,Bad
332,0 <= 200 DM,60,existing credits paid back duly till now,car (new),7408,100 <= ... < 500 DM,... < 1 year,Four,female: divorced/separated/married,none,Two,building society savings agreement/life insurance,24,none,own,One,management / self-employed / highly qualified employee / officer,One,none,yes,Bad
333,no checking account,48,critical account/ other credits existing (not at this bank),car (used),11590,100 <= ... < 500 DM, 1 <= ... < 4 years,Two,female: divorced/separated/married,none,Four,car or other,24,bank,rent,Two,unskilled - resident,One,none,yes,Bad
334,... < 0 DM,24,no credits taken/all credits paid back duly,furniture/equipment,4110,... < 100 DM,... >= 7 years,Three,male: single,none,Four,unknown / no property,23,bank,rent,Two,skilled employee / official,Two,none,yes,Bad
335,... < 0 DM,6,critical account/ other credits existing (not at this bank),furniture/equipment,3384,... < 100 DM, 1 <= ... < 4 years,One,male: divorced/separated,none,Four,real estate,44,none,rent,One,management / self-employed / highly qualified employee / officer,One,"yes, registered under the customers name",yes,Bad
336,0 <= 200 DM,13,existing credits paid back duly till now,radio/television,2101,... < 100 DM,... < 1 year,Two,female: divorced/separated/married,guarantor,Four,building society savings agreement/life insurance,23,none,own,One,unskilled - resident,One,none,yes,Good
337,... < 0 DM,15,existing credits paid back duly till now,domestic appliances,1275,unknown/no savings account, 1 <= ... < 4 years,Four,female: divorced/separated/married,none,Two,car or other,24,none,rent,One,skilled employee / official,One,none,yes,Bad
338,... < 0 DM,24,existing credits paid back duly till now,furniture/equipment,4169,... < 100 DM, 1 <= ... < 4 years,Four,male: single,none,Four,building society savings agreement/life insurance,28,none,own,One,skilled employee / official,One,none,yes,Good
339,0 <= 200 DM,10,existing credits paid back duly till now,furniture/equipment,1521,... < 100 DM, 1 <= ... < 4 years,Four,male: divorced/separated,none,Two,car or other,31,none,own,One,unskilled - resident,One,none,yes,Good
340,0 <= 200 DM,24,critical account/ other credits existing (not at this bank),education,5743,... < 100 DM,... < 1 year,Two,female: divorced/separated/married,none,Four,unknown / no property,24,none,for free,Two,skilled employee / official,One,"yes, registered under the customers name",yes,Good
341,... < 0 DM,21,existing credits paid back duly till now,furniture/equipment,3599,... < 100 DM,4 <= ... < 7 years,One,female: divorced/separated/married,none,Four,car or other,26,none,rent,One,unskilled - resident,One,none,yes,Good
342,0 <= 200 DM,18,existing credits paid back duly till now,radio/television,3213,500 <= ... < 1000 DM,... < 1 year,One,male: married/widowed,none,Three,real estate,25,none,rent,One,skilled employee / official,One,none,yes,Good
343,0 <= 200 DM,18,existing credits paid back duly till now,business,4439,... < 100 DM,... >= 7 years,One,male: single,co-applicant,One,real estate,33,bank,own,One,management / self-employed / highly qualified employee / officer,One,"yes, registered under the customers name",yes,Good
344,... >= 200 DM / salary assignments for at least 1 year,10,existing credits paid back duly till now,car (new),3949,... < 100 DM,... < 1 year,One,male: single,guarantor,One,building society savings agreement/life insurance,37,none,own,One,unskilled - resident,Two,none,yes,Good
345,no checking account,15,critical account/ other credits existing (not at this bank),radio/television,1459,... < 100 DM, 1 <= ... < 4 years,Four,female: divorced/separated/married,none,Two,car or other,43,none,own,One,unskilled - resident,One,none,yes,Good
346,0 <= 200 DM,13,critical account/ other credits existing (not at this bank),radio/television,882,... < 100 DM,... < 1 year,Four,male: single,guarantor,Four,real estate,23,none,own,Two,skilled employee / official,One,none,yes,Good
347,0 <= 200 DM,24,existing credits paid back duly till now,radio/television,3758,500 <= ... < 1000 DM,unemployed,One,female: divorced/separated/married,none,Four,unknown / no property,23,none,rent,One,unemployed/unskilled - non-resident,One,none,yes,Good
348,no checking account,6,delay in paying off in the past,business,1743,100 <= ... < 500 DM, 1 <= ... < 4 years,One,male: single,none,Two,real estate,34,none,own,Two,unskilled - resident,One,none,yes,Good
349,0 <= 200 DM,9,critical account/ other credits existing (not at this bank),education,1136,... >= 1000 DM,... >= 7 years,Four,male: single,none,Three,unknown / no property,32,none,for free,Two,skilled employee / official,Two,none,yes,Bad
350,no checking account,9,existing credits paid back duly till now,domestic appliances,1236,... < 100 DM,... < 1 year,One,female: divorced/separated/married,none,Four,real estate,23,none,rent,One,skilled employee / official,One,"yes, registered under the customers name",yes,Good
351,0 <= 200 DM,9,existing credits paid back duly till now,furniture/equipment,959,... < 100 DM, 1 <= ... < 4 years,One,female: divorced/separated/married,none,Two,car or other,29,none,own,One,skilled employee / official,One,none,no,Bad
352,no checking account,18,critical account/ other credits existing (not at this bank),car (used),3229,unknown/no savings account,unemployed,Two,male: single,none,Four,unknown / no property,38,none,own,One,management / self-employed / highly qualified employee / officer,One,"yes, registered under the customers name",yes,Good
353,... < 0 DM,12,no credits taken/all credits paid back duly,radio/television,6199,... < 100 DM, 1 <= ... < 4 years,Four,male: single,none,Two,building society savings agreement/life insurance,28,none,rent,Two,skilled employee / official,One,"yes, registered under the customers name",yes,Bad
354,no checking account,10,existing credits paid back duly till now,education,727,500 <= ... < 1000 DM,... >= 7 years,Four,male: single,none,Four,unknown / no property,46,none,for free,One,skilled employee / official,One,"yes, registered under the customers name",yes,Good
355,0 <= 200 DM,24,existing credits paid back duly till now,car (new),1246,... < 100 DM,... < 1 year,Four,male: single,none,Two,real estate,23,stores,own,One,unskilled - resident,One,none,yes,Bad
356,no checking account,12,critical account/ other credits existing (not at this bank),radio/television,2331,unknown/no savings account,... >= 7 years,One,male: single,co-applicant,Four,real estate,49,none,own,One,skilled employee / official,One,"yes, registered under the customers name",yes,Good
357,no checking account,36,delay in paying off in the past,radio/television,4463,... < 100 DM, 1 <= ... < 4 years,Four,male: single,none,Two,car or other,26,none,own,Two,management / self-employed / highly qualified employee / officer,One,"yes, registered under the customers name",yes,Bad
358,no checking account,12,existing credits paid back duly till now,radio/television,776,... < 100 DM, 1 <= ... < 4 years,Four,male: married/widowed,none,Two,real estate,28,none,own,One,skilled employee / official,One,none,yes,Good
359,... < 0 DM,30,existing credits paid back duly till now,furniture/equipment,2406,... < 100 DM,4 <= ... < 7 years,Four,female: divorced/separated/married,none,Four,real estate,23,none,rent,One,skilled employee / official,One,none,yes,Bad
360,0 <= 200 DM,18,existing credits paid back duly till now,education,1239,unknown/no savings account, 1 <= ... < 4 years,Four,male: single,none,Four,unknown / no property,61,none,for free,One,skilled employee / official,One,none,yes,Good
361,... >= 200 DM / salary assignments for at least 1 year,12,existing credits paid back duly till now,radio/television,3399,unknown/no savings account,... >= 7 years,Two,male: single,none,Three,car or other,37,none,own,One,management / self-employed / highly qualified employee / officer,One,none,yes,Good
362,... >= 200 DM / salary assignments for at least 1 year,12,delay in paying off in the past,car (new),2247,... < 100 DM, 1 <= ... < 4 years,Two,female: divorced/separated/married,none,Two,car or other,36,stores,own,Two,skilled employee / official,One,"yes, registered under the customers name",yes,Good
363,no checking account,6,existing credits paid back duly till now,furniture/equipment,1766,... < 100 DM, 1 <= ... < 4 years,One,male: married/widowed,none,Two,building society savings agreement/life insurance,21,none,rent,One,skilled employee / official,One,none,yes,Good
364,... < 0 DM,18,existing credits paid back duly till now,furniture/equipment,2473,... < 100 DM,unemployed,Four,male: single,none,One,car or other,25,none,own,One,unemployed/unskilled - non-resident,One,none,yes,Bad
365,no checking account,12,existing credits paid back duly till now,business,1542,... < 100 DM,4 <= ... < 7 years,Two,male: single,none,Four,car or other,36,none,own,One,skilled employee / official,One,"yes, registered under the customers name",yes,Good
366,no checking account,18,critical account/ other credits existing (not at this bank),car (used),3850,... < 100 DM,4 <= ... < 7 years,Three,male: single,none,One,car or other,27,none,own,Two,skilled employee / official,One,none,yes,Good
367,... < 0 DM,18,existing credits paid back duly till now,furniture/equipment,3650,... < 100 DM,... < 1 year,One,female: divorced/separated/married,none,Four,car or other,22,none,rent,One,skilled employee / official,One,none,yes,Good
368,... < 0 DM,36,existing credits paid back duly till now,furniture/equipment,3446,... < 100 DM,... >= 7 years,Four,male: single,none,Two,car or other,42,none,own,One,skilled employee / official,Two,none,yes,Bad
